_id,case_no,status_dttm,status,code,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude
2116,V653910,2022-12-27 15:43:39,Closed,116,Unsafe Structures,19,,Gloria,RD,West Roxbury,MA,02132,20,19 GLORIA ROAD,,WEST ROXBURY,MA,02132,64875.0,42.28724964688755,-71.14502080180414
2117,V652209,2022-12-20 15:42:37,Closed,Article 4 Section 4-3,No use of premises permit:,23,,Woodbine,ST,Roxbury,MA,02119,12,31 ENGEWOOD ST,,ROXBURY,MA,02119,151389.0,42.31898555297349,-71.08013858368656
2118,V651140,2022-12-20 11:56:31,Closed,102.8,Maintenance,760,,Eighth,ST,South Boston,MA,02127,07,760 EAST EIGHTH STREET,,SOUTH BOSTON,MA,02127,52437.0,42.33166948570337,-71.03093044463772
2119,V651134,2022-12-20 11:30:06,Closed,1001.3.2,Testing & Certification,337,,K,ST,South Boston,MA,02127,07,337 K STREET,,SOUTH BOSTON,MA,02127,80591.0,42.3321194951325,-71.0375004585461
2120,V651093,2022-12-20 09:44:39,Closed,102.8,Maintenance,335,,K,ST,South Boston,MA,02127,07,335 K STREET,,SOUTH BOSTON,MA,02127,80589.0,42.33216349391693,-71.03750345914051
2121,V649652,2022-12-12 15:41:01,Closed,116,Unsafe Structures,106,,London,ST,East Boston,MA,02128,01,106 London St,,E Boston,MA,02128,86980.0,42.372825495396654,-71.03973437327896
2122,V649642,2022-12-12 15:17:50,Open,105.1,Failure to Obtain Permit,16,,Monadnock,ST,Dorchester,MA,02125,13,16 MONADNOCK ST,,DORCHESTER,MA,02125,96271.0,42.31714953645661,-71.06783056030531
2123,V649104,2022-12-08 09:19:24,Closed,116,Unsafe Structures,25,,Peverell,ST,Dorchester,MA,02125,13,3720 Dusty Lane,,Raleigh,NC,27604,109923.0,42.31317952674961,-71.06088055316684
2124,V649092,2022-12-08 09:00:05,Closed,116,Unsafe Structures,449,,Cambridge,ST,Allston,MA,02134,22,C/O EXETER PROPERTY GROUP,"101 W ELM ST, STE 600",CONSHOHOCKEN,PA,19428,25132.0,42.3544669924726,-71.13559071886775
2125,V648780,2022-12-06 15:57:34,Closed,107.4,Failed to comply w permit term,32,,Norwood,ST,Dorchester,MA,02122,16,6 WENLOCK ST,,DORCHESTER,MA,02122,104164.0,42.29144950826552,-71.04617056847086
2126,V648694,2022-12-06 15:12:31,Closed,105.1,Failure to Obtain Permit,31,,Pleasant,ST,Charlestown,MA,02129,02,C/O BARABARA  A SMITH,50 ENDICOTT STREET,DANVERS,MA,01923,111065.0,42.3748995239456,-71.06230041921165
2127,V648639,2022-12-06 10:33:27,Closed,107.4,Failed to comply w permit term,32,,Norwood,ST,Dorchester,MA,02122,16,6 WENLOCK ST,,DORCHESTER,MA,02122,104164.0,42.29144950826552,-71.04617056847086
2128,V592486,2022-12-05 15:58:19,Closed,105.1,Failure to Obtain Permit,38,,White,ST,East Boston,MA,02128,01,59 STANDISH RD,,WELLESLEY,MA,02481,149231.0,42.38064949284959,-71.03828035185104
2129,V632237,2022-12-05 15:55:30,Open,105.1,Failure to Obtain Permit,32,,Granfield,AV,Roslindale,MA,02131,19,32 GRANFIELD AV,,ROSLINDALE,MA,02131,65797.0,42.28967961343477,-71.12187074342461
2130,V632250,2022-12-05 15:54:11,Open,116,Unsafe Structures,78,,Everett,ST,East Boston,MA,02128,01,40 EVERETT ST,,EAST BOSTON,MA,02128,55175.0,42.36764948903424,-71.03474037345349
2131,V632387,2022-12-05 15:52:52,Open,4-3,Building or Use of Premise req,32,,Granfield,AV,Roslindale,MA,02131,19,32 GRANFIELD AV,,ROSLINDALE,MA,02131,65797.0,42.28967961343477,-71.12187074342461
2132,V595919,2022-12-05 15:51:24,Closed,105.1,Failure to Obtain Permit,68,,Stanton,ST,Dorchester,MA,02124,17,68 STANTON ST,C/O GREG SMITH/NEDJEE VATEL,DORCHESTER,MA,02124,130238.0,42.2834895537002,-71.07866065961991
2133,V648057,2022-12-02 09:17:44,Closed,116,Unsafe Structures,36,,Elm Hill,AVE,Dorchester,MA,02121,12,36 ELM HILL AVE,,DORCHESTER,MA,02121,53222.0,42.31191956045063,-71.08532061168928
2134,V647988,2022-12-01 14:53:29,Closed,105.1,Failure to Obtain Permit,11,,Radford,LN,Dorchester,MA,02124,16,299 Gallivan BLVD,,DORCHESTER CENTER,MA,02124-4811,114402.0,42.28419953065982,-71.06166061954275
2135,V647775,2022-11-30 15:23:52,Open,105.1,Failure to Obtain Permit,47,,Stanwood,ST,Dorchester,MA,02121,14,47 STANWOOD ST,Unit 1,DORCHESTER,MA,02121,130290.0,42.30900955334928,-71.08021060639268
2136,V639851,2022-11-30 09:43:39,Closed,1107.5.1,Group I-1,32,,Norwood,ST,Dorchester,MA,02122,16,6 WENLOCK ST,,DORCHESTER,MA,02122,104164.0,42.29144950826552,-71.04617056847086
2137,V647645,2022-11-30 08:18:15,Closed,107.4,Failed to comply w permit term,19,21,Summer,ST,West Roxbury,MA,02132,20,19  SUMMER  STREET,,WEST  ROXBURY,MA,02132,132064.0,42.27633067276563,-71.1627348654909
2138,V644382,2022-11-29 15:18:01,Closed,105.1,Failure to Obtain Permit,120,122,Meridian,ST,East Boston,MA,02128,01,31 Goodwin Avenue,,Revere,MA,02151,94390.0,42.37347949489217,-71.03925036980246
2139,V647522,2022-11-29 14:41:03,Open,102.8,Maintenance,12,,American Legion,HW,Dorchester,MA,02124,14,42 HOWELL STREET,,BOSTON,MA,02125,3105.0,42.297729565156494,-71.08777064787473
2140,V647511,2022-11-29 11:16:29,Closed,105.1,Failure to Obtain Permit,407,409A,Chelsea,ST,East Boston,MA,02128,01,409 CHELSEA STREET,,EAST BOSTON,MA,02128,172806.0,42.37986110181918,-71.02695540898657
2141,V647486,2022-11-29 10:44:38,Closed,116,Unsafe Structures,70,,Whitfield,ST,Dorchester,MA,02124,17,330 ADAMS ST,,QUINCY,MA,02169,149318.0,42.29181954784684,-71.0747606325144
2142,V647434,2022-11-29 09:02:33,Closed,107.4,Failed to comply w permit term,70,,Whitfield,ST,Dorchester,MA,02124,17,330 ADAMS ST,,QUINCY,MA,02169,149318.0,42.29181954784684,-71.0747606325144
