_id,case_no,status_dttm,status,code,description,violation_stno,violation_sthigh,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_addr2,contact_city,contact_state,contact_zip,sam_id,latitude,longitude
3708,V484881,2020-12-29 13:25:58,Closed,105.1,Failure to Obtain Permit,1514R,,Columbia,RD,South Boston,MA,02127,07,"1514 Columbia Road, Unit 1",,South Boston,MA,02127,35081.0,42.33082949818069,-71.04025046727602
3709,V537081,2020-12-28 12:25:33,Closed,102.8,Maintenance,151,,Charles,ST,Boston,MA,02114,05,50 POND RD,,DUXBURY,MA,02332,29134.0,42.36052953557413,-71.07059046988543
3710,V536727,2020-12-28 11:28:28,Closed,102.8,Maintenance,149,,Charles,ST,Boston,MA,02114,05,320WASHINGTONST # 3F,,BROOKLINE,MA,02445-6837,158142.0,42.36047884822697,-71.07056994191693
3711,V537066,2020-12-28 10:17:54,Closed,107.4,Failed to comply w permit term,140,,Selden,ST,Mattapan,MA,02126,18,140 WEST SELDEN,,MATTAPAN,MA,02126,124965.0,42.27631956628054,-71.08657069406915
3712,V536876,2020-12-28 09:47:34,Closed,105.1,Failure to Obtain Permit,1139,,Commonwealth,AV,Allston,MA,02134,21,61 MYOPIA RD,,WINCHESTER,MA,01890,37026.0,42.35102261081913,-71.12699961673128
3713,V536872,2020-12-24 10:59:12,Closed,1001.3.3,,1139,,Commonwealth,AV,Allston,MA,02134,21,61 MYOPIA RD,,WINCHESTER,MA,01890,37026.0,42.35102261081913,-71.12699961673128
3714,V536868,2020-12-24 10:24:57,Closed,102.8,Maintenance,85,,Tennis,RD,Mattapan,MA,02126,18,1226 Hyde Park Avenue,,Hyde Park,MA,02136,134420.0,42.27710958086861,-71.09694071486284
3715,V536864,2020-12-24 09:16:22,Closed,102.8,Maintenance,41,,Worcester,SQ,Roxbury,MA,02118,08,"190 HIGH STREET, FLOOR #6",,BOSTON,MA,02116,152332.0,42.33586954283516,-71.07420053353495
3716,V536627,2020-12-22 14:53:15,Closed,105.1,Failure to Obtain Permit,111,,Park,DR,Boston,MA,02215,05,NORMAN A LEVENSON TRUSTEE,896 BEACON ST C/O COPLEY MANAGEMENT,BOSTON,MA,02215,106642.0,42.342062572474326,-71.0970115696764
3717,V536458,2020-12-21 13:45:23,Closed,110.7,Periodic Inspections,185,,Columbia,RD,Dorchester,MA,02121,14,275 West Broadway,,South Boston,MA,02127,35171.0,42.306326550033376,-71.07683760397211
3718,V536457,2020-12-21 13:34:33,Closed,1001.3.2,Testing & Certification,70,,Russell,ST,Charlestown,MA,02129,02,70 RUSSELL STREET,,CHARLESTOWN,MA,02129,119709.0,42.37989703907032,-71.0670445199813
3719,V536455,2020-12-21 13:16:08,Closed,105.1,Failure to Obtain Permit,62,,Saunders,ST,Allston,MA,02134,21,62 SAUNDERS ST,,ALLSTON,MA,02134,122991.0,42.353849630197416,-71.1420906454533
3720,V536445,2020-12-21 12:52:19,Closed,105.1,Failure to Obtain Permit,59,,Walnut,ST,Dorchester,MA,02122,16,59 WALNUT ST,,DORCHESTER,MA,02122,142163.0,42.28669950125285,-71.04059056654457
3721,V530730,2020-12-16 11:27:12,Closed,105.1,Failure to Obtain Permit,24,,Montrose,ST,Roxbury,MA,02119,12,24 MONTROSE ST,,ROXBURY,MA,02119,96762.0,42.32397955268196,-71.08047057330347
3722,V530635,2020-12-15 14:36:34,Closed,107.4,Failed to comply w permit term,6,,Humphreys,PL,Dorchester,MA,02125,07,275 MAIN ST #1,,CHARLESTOWN,MA,02129,76058.0,42.31910953597154,-71.06798055603214
3723,V530312,2020-12-14 13:04:42,Closed,110.7,Periodic Inspections,15,17,Brimmer,ST,Boston,MA,02108,05,17 BRIMMER ST #C,,BOSTON,MA,02114,20225.0,42.3582995383933,-71.07201847753913
3724,V530519,2020-12-14 12:40:44,Closed,105.1,Failure to Obtain Permit,9,,Fayston,ST,Dorchester,MA,02121,14,9 FAYSTON ST,C/O DEYANIRA SANTANA,DORCHESTER,MA,02121,57085.0,42.313549550470825,-71.07853059251931
3725,V530498,2020-12-14 09:52:55,Closed,102.8,Maintenance,141,,Intervale,ST,Dorchester,MA,02121,14,"265 Dudley Street, Unit C",,Roxbury,MA,02119,78730.0,42.30955954722361,-71.0753105949395
3726,V530242,2020-12-10 14:38:36,Closed,105.1,Failure to Obtain Permit,2,4,Shelby,ST,East Boston,MA,02128,01,2-4 SHELBY STREET,,EAST BOSTON,MA,02127,126629.0,42.38116947937377,-71.02794032774648
3727,V530235,2020-12-10 13:17:05,Closed,111.1,Certificate of Occupancy,177,,Tremont,ST,Boston,MA,02111,03,137 WESTON RD,,LINCOLN,MA,01773,137449.0,42.352999527836296,-71.06405047199023
3728,V530230,2020-12-10 12:55:15,Closed,101.4.4,Maintenance,81,,Prince,ST,Boston,MA,02113,03,1451 Tremont Street,,Boston,MA,02120,113001.0,42.36549951655419,-71.05573042425279
3729,V530224,2020-12-10 12:41:15,Closed,101.4.4,Maintenance,7,9,Margaret,ST,Boston,MA,02113,03,C/O ANGELA NOGUEIRA,4 BRIA CIRCLE,SAUGUS,MA,01906,89668.0,42.36568951652417,-71.05570042504786
3730,V529155,2020-12-10 08:53:11,Closed,105.1,Failure to Obtain Permit,36,,Robinson,ST,Dorchester,MA,02122,15,50 COMMON ST,,NORWELL,MA,02061,117373.0,42.30264952923008,-71.06194057933166
3731,V529145,2020-12-09 14:49:02,Closed,105.1,Failure to Obtain Permit,36,,Robinson,ST,Dorchester,MA,02122,15,50 COMMON ST,,NORWELL,MA,02061,117373.0,42.30264952923008,-71.06194057933166
3732,V529141,2020-12-09 14:41:08,Closed,102.8,Maintenance,361,,Centre,ST,Jamaica Plain,MA,02130,10,30 Sunnyside Street,,Jamaica Plain,MA,02130,28005.0,42.32296558916654,-71.10748463687769
3733,V529138,2020-12-09 14:15:10,Closed,907.8,Fire Protection Systems,361,,Centre,ST,Jamaica Plain,MA,02130,10,30 Sunnyside Street,,Jamaica Plain,MA,02130,28005.0,42.32296558916654,-71.10748463687769
3734,V529005,2020-12-08 12:24:21,Closed,116.2,Unsafe and Dangerous,380,380H,Eighth,ST,South Boston,MA,02127,07,"380 East Eighth Street, Unit 2",,South Boston,MA,02127,52111.0,42.33141950495647,-71.04592047842071
3735,V529002,2020-12-08 11:57:35,Closed,121.1,Unsafe and Dangerous,73,,Romsey,ST,Dorchester,MA,02125,13,73 Romsey St,,Dorchester,Ma,02125,118190.0,42.31551951590607,-71.05309053102961
3736,V508489,2020-12-08 09:38:38,Closed,107.4,Failed to comply w permit term,233,,Columbia,RD,Dorchester,MA,02121,14,80 NEPONSET AVE,,DORCHESTER,MA,02122,35188.0,42.30749954770409,-71.07541059956039
3737,V497514,2020-12-08 09:31:55,Closed,903.5,Fire Protection Systems,151,,Tremont,ST,Boston,MA,02111,03,"100 State Street, Suite 200",,BOSTON,MA,02109,136988.0,42.35439678241886,-71.06342866167532
